ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
2024-12-16 10:12:05.709100008,CZQsWe2u17FOxH7Uo6,192.168.28.229,57421,192.168.28.1,53,udp,dns,0 days 00:00:00.006418,34,186,SF,T,T,0,Dd,1,62,1,214,
2024-12-16 10:12:05.709250927,CVXSVpbdOi5JRxetf,192.168.28.229,35194,192.168.28.1,53,udp,dns,0 days 00:00:00.006282,34,170,SF,T,T,0,Dd,1,62,1,198,
2024-12-16 10:12:06.058464050,CxvbvH33FrkQs4KFci,192.168.28.229,36069,192.168.28.1,53,udp,dns,0 days 00:00:00.039034,28,180,SF,T,T,0,Dd,1,56,1,208,
2024-12-16 10:12:13.071679115,ChWlve3FgLXwRwpgp,192.168.28.229,52120,91.189.91.96,80,tcp,http,0 days 00:00:00.518675,87,185,SF,T,F,0,ShADfdtFa,6,419,4,401,
2024-12-16 10:12:12.681068897,CX2ZcH2jgQyK9tLDb9,192.168.28.229,37560,192.168.28.1,53,udp,dns,0 days 00:00:00.006129,37,189,SF,T,T,0,Dd,1,65,1,217,
2024-12-16 10:12:12.681365013,CE7NMV3kIOVVB63iP1,192.168.28.229,51391,192.168.28.1,53,udp,dns,0 days 00:00:00.005867,37,173,SF,T,T,0,Dd,1,65,1,201,
2024-12-16 10:12:13.061728954,CkyWwZ1mw0IXqqgZR3,192.168.28.229,33627,192.168.28.1,53,udp,dns,0 days 00:00:00.008189999,47,239,SF,T,T,0,Dd,1,75,1,267,
2024-12-16 10:07:25.309165955,C12Evs188xv0ES0vh4,192.168.28.229,48304,192.168.28.29,631,tcp,http,0 days 00:00:00.037558,391,7868,S2,T,T,6383,ShADadcgF,10,811,5,1693,
2024-12-16 10:12:16.380044937,CV3V171gLRL0bjgls3,192.168.28.229,55179,192.168.28.1,53,udp,dns,0 days 00:00:00.047640,37,229,SF,T,T,0,Dd,1,65,1,257,
2024-12-16 10:12:16.380245924,Cbxm4G3PvEdZg6blC6,192.168.28.229,51806,192.168.28.1,53,udp,dns,0 days 00:00:00.081384,37,229,SF,T,T,0,Dd,1,65,1,257,
2024-12-16 10:12:16.462208986,CKqDXW3DS9u128IF63,192.168.28.229,57851,192.168.28.1,53,udp,dns,0 days 00:00:00.005794,38,174,SF,T,T,0,Dd,1,66,1,202,
2024-12-16 10:12:17.677882910,CMdSqp43tncV2vm4Ad,192.168.28.229,48238,192.168.28.1,53,udp,dns,0 days 00:00:00.012853,33,185,SF,T,T,0,Dd,1,61,1,213,
2024-12-16 10:12:17.678163052,C6Gc5j3GYmWBdEZDjc,192.168.28.229,49764,192.168.28.1,53,udp,dns,0 days 00:00:00.086008,33,169,SF,T,T,0,Dd,1,61,1,197,
2024-12-16 10:12:17.681143045,CGBYxM1HurGIUIBBm,192.168.28.229,44260,192.168.28.1,53,udp,dns,0 days 00:00:00.009546,38,174,SF,T,T,0,Dd,1,66,1,202,
2024-12-16 10:12:18.696767092,ChjrAg2ACeuwTp86P,192.168.28.229,55248,192.168.28.1,53,udp,dns,0 days 00:00:00.013617,33,185,SF,T,T,0,Dd,1,61,1,213,
2024-12-16 10:12:18.697038889,CF3OMJ2Vb6mboYZYHe,192.168.28.229,51329,192.168.28.1,53,udp,dns,0 days 00:00:00.013588,33,169,SF,T,T,0,Dd,1,61,1,197,
2024-12-16 10:12:18.705379009,C86ZjY3jEA8YXLb2k2,192.168.28.229,52837,192.168.28.1,53,udp,dns,0 days 00:00:00.076728,44,196,SF,T,T,0,Dd,1,72,1,224,
2024-12-16 10:12:18.705652952,Co7tlKutsLjzgceqd,192.168.28.229,45652,192.168.28.1,53,udp,dns,0 days 00:00:00.149381,44,180,SF,T,T,0,Dd,1,72,1,208,
2024-12-16 10:12:24.753642082,CVJLTAEbsGQZ4qEL6,192.168.28.229,39575,192.168.28.1,53,udp,dns,0 days 00:00:00.005857,45,61,SF,T,T,0,Dd,1,73,1,89,
2024-12-16 10:12:24.753943920,CIluWsVQxyMicXOV3,192.168.28.229,41936,192.168.28.1,53,udp,dns,0 days 00:00:00.005611,45,45,SF,T,T,0,Dd,1,73,1,73,
2024-12-16 10:07:36.378658056,C0xp5b4lhK02Tui288,192.168.28.229,53990,142.250.199.14,443,tcp,ssl,0 days 00:00:00.068038,2180,1464,SF,T,F,0,ShADFacRfR,7,2528,4,216,
2024-12-16 10:07:36.119872093,CGcKOg3gZ0CbpwYkml,192.168.28.229,55184,192.168.28.29,443,tcp,ssl,0 days 00:00:00.344987,997,13710,S2,T,T,6445,ShADadcgF,14,1577,15,7873,
2024-12-16 10:12:27.679466963,CLT1wS2zIWA4gxKau2,192.168.28.229,55181,192.168.28.1,53,udp,dns,0 days 00:00:00.007344,33,49,SF,T,T,0,Dd,1,61,1,77,
2024-12-16 10:12:27.679908037,CIZCgAnSFUh4UKpS2,192.168.28.229,52284,192.168.28.1,53,udp,dns,0 days 00:00:00.006935,33,33,SF,T,T,0,Dd,1,61,1,61,
2024-12-16 10:11:43.105829954,CeFQ0Uw1a49jwI0s8,192.168.28.229,44766,239.255.255.250,1900,udp,,0 days 00:00:03.003577,692,0,S0,T,F,0,D,4,804,0,0,
2024-12-16 10:07:46.768181086,Cr6HPm1vFUJhM8XjRl,192.168.28.229,45496,192.168.28.29,443,tcp,ssl,0 days 00:00:00.344707,974,9413,S2,T,T,7988,ShADadcgF,13,1514,6,1673,
2024-12-16 10:10:39.696609020,CyMatv3BP4TMEr69hj,192.168.28.229,60506,35.215.235.162,443,tcp,ssl,0 days 00:02:18.100236,1856,4808,RSTO,T,F,4649,ShADacgdR,21,2956,15,947,
2024-12-16 10:12:55.740168095,C7Dx1A1yz5gsFcxgz4,192.168.28.229,43864,13.107.5.93,443,tcp,ssl,0 days 00:00:04.189871,1475,6185,SF,T,F,2737,ShADadcgFf,10,1895,11,3900,
2024-12-16 10:12:55.733153105,Ciytqw3vXEUqoE8Ual,192.168.28.229,40598,192.168.28.1,53,udp,dns,0 days 00:00:00.006601,37,37,SF,T,T,0,Dd,1,65,1,65,
2024-12-16 10:11:44.749159098,Cxy1JL28gq3CSadqW3,192.168.28.229,48012,142.251.43.131,443,udp,quic,0 days 00:00:21.177187,4664,8017,SF,T,F,0,Dd,12,5000,13,8381,
2024-12-16 10:12:05.716500998,CEf3om3MkWbcNhXWWc,192.168.28.229,50345,142.251.222.238,443,udp,quic,0 days 00:00:00.357017,16929,8236,SF,T,F,0,Dd,25,17629,25,8936,
2024-12-16 10:12:06.100053072,Ct2kWn49jMqBeaEmIh,192.168.28.229,57728,142.251.223.78,443,udp,quic,0 days 00:00:00.129383,4876,4560,SF,T,F,0,Dd,10,5156,11,4868,
2024-12-16 10:12:57.778788090,CFgC4Hy7s2ugWzNS3,192.168.28.229,55822,192.168.28.1,53,udp,dns,0 days 00:00:00.012376,29,61,SF,T,T,0,Dd,1,57,1,89,
2024-12-16 10:12:57.778930902,CbLjJd36M7EGr6PGi7,192.168.28.229,45673,192.168.28.1,53,udp,dns,0 days 00:00:00.109970,29,29,SF,T,T,0,Dd,1,57,1,57,
2024-12-16 10:11:52.754403114,CB07lbbWuay50lvU9,192.168.28.229,40215,142.250.199.42,443,udp,quic,0 days 00:00:15.280251,11141,11385,SF,T,F,0,Dd,26,11869,31,12253,
2024-12-16 10:12:12.689924955,CoCh7JOHRW8hVuzLh,192.168.28.229,56681,142.251.12.84,443,udp,quic,0 days 00:00:00.158558,9041,5867,SF,T,F,0,Dd,13,9405,17,6343,
2024-12-16 10:12:16.441160917,CbUJJl1DMx7DrSoImi,192.168.28.229,58353,142.250.199.46,443,udp,quic,0 days 00:00:00.320624,10825,4877,SF,T,F,0,Dd,14,11217,16,5325,
