ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
2024-12-16 10:07:16.935195923,CRL6XsZpg1NKHDAh8,192.168.28.229,56806,74.125.24.188,5228,tcp,ssl,0 days 00:00:26.444706,2069,8323,RSTR,T,F,4863,ShADadcgFr,14,2805,10,3988,
2024-12-16 10:07:15.119748116,CWxrTy42xI3J98tGLa,fe80::2605:4ff9:fc77:aafc,5353,ff02::fb,5353,udp,dns,0 days 00:00:28.994111,3254,0,S0,T,F,0,D,8,3638,0,0,
2024-12-16 10:07:44.129317044,CGlxBk33ic8p2XzLV2,192.168.28.229,5353,224.0.0.251,5353,udp,dns,0 days 00:00:04.977662,1107,0,S0,T,F,0,D,8,1331,0,0,
2024-12-16 10:07:13.094273090,Cgais514XY9FJFrsLk,192.168.28.229,1716,255.255.255.255,1716,udp,,0 days 00:00:02.581019,3746,0,S0,T,T,0,D,2,3802,0,0,
2024-12-16 10:08:08.083734989,CIhswWJEx7Nye5r8h,192.168.28.30,5353,224.0.0.251,5353,udp,dns,0 days 00:00:00.716481,615,0,S0,T,F,0,D,6,783,0,0,
2024-12-16 10:08:08.083842993,CHwQsI2N0pfhcjUmgd,fe80::d35b:52df:37f8:de38,5353,ff02::fb,5353,udp,dns,0 days 00:00:00.716408,615,0,S0,T,F,0,D,6,903,0,0,
2024-12-16 10:07:39.307682991,CoaYH03Vuz2aPsaLl1,192.168.28.26,5353,224.0.0.251,5353,udp,dns,0 days 00:00:26.317364,5056,0,S0,T,F,0,D,23,5700,0,0,
2024-12-16 10:07:39.307734013,CO5pU84tgnPYqby2ch,fe80::1ceb:c7eb:adfd:942d,5353,ff02::fb,5353,udp,dns,0 days 00:00:26.317371,5742,0,S0,T,F,0,D,25,6942,0,0,
2024-12-16 10:07:16.929881096,CQA0mo2B8dt8i2vDQ2,192.168.28.229,35052,239.255.255.250,1900,udp,,0 days 00:00:03.002679,692,0,S0,T,F,0,D,4,804,0,0,
2024-12-16 10:08:16.116338015,CWgQjVkajispU9R4l,fe80::2605:4ff9:fc77:aafc,5353,ff02::fb,5353,udp,dns,,,,S0,T,F,0,D,1,165,0,0,
