ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
2024-12-16 10:07:19.068733931,CbZZNi4X4GbJYNOHHb,192.168.28.229,58931,192.168.28.1,53,udp,dns,0 days 00:00:00.005543,49,49,SF,T,T,0,Dd,1,77,1,77,
2024-12-16 10:07:19.068835974,Ccdvk54iN9Wxhsq55d,192.168.28.229,50469,192.168.28.1,53,udp,dns,0 days 00:00:00.005439,48,48,SF,T,T,0,Dd,1,76,1,76,
2024-12-16 10:07:19.068953991,Cmf83A3cvruj5YFp15,192.168.28.229,45301,192.168.28.1,53,udp,dns,0 days 00:00:00.005300,50,50,SF,T,T,0,Dd,1,78,1,78,
2024-12-16 10:07:19.069228888,CxxjIm4FL09rwLgSJg,192.168.28.229,50657,192.168.28.1,53,udp,dns,0 days 00:00:00.005050,55,55,SF,T,T,0,Dd,1,83,1,83,
2024-12-16 10:07:19.069631100,CuTFlyD7O5Yo0RfM6,192.168.28.229,46899,192.168.28.1,53,udp,dns,0 days 00:00:00.005070,48,48,SF,T,T,0,Dd,1,76,1,76,
2024-12-16 10:07:19.069797993,CJp9Ni3FaaS0MzUr45,192.168.28.229,54628,192.168.28.1,53,udp,dns,0 days 00:00:00.007577,50,50,SF,T,T,0,Dd,1,78,1,78,
2024-12-16 10:07:19.177776098,CA9bdh4CQosgSXrUBh,192.168.28.229,59762,192.168.28.1,53,udp,dns,0 days 00:00:00.006074,44,44,SF,T,T,0,Dd,1,72,1,72,
2024-12-16 10:07:21.301419973,CNRoYHEI4lm9olOok,192.168.28.229,55857,192.168.28.1,53,udp,dns,0 days 00:00:00.005467,23,23,SF,T,T,0,Dd,1,51,1,51,
2024-12-16 10:07:21.855365992,CSQ5JN2rkg1cZaNvef,192.168.28.229,59746,192.168.28.1,53,udp,dns,0 days 00:00:00.005928,49,49,SF,T,T,0,Dd,1,77,1,77,
2024-12-16 10:07:21.855489016,CGvLKq9B82rew9Sk1,192.168.28.229,59065,192.168.28.1,53,udp,dns,0 days 00:00:00.005830,48,48,SF,T,T,0,Dd,1,76,1,76,
